Szczegółowe wyniki eksperymentów GLVQ
======================================

--- Exp 1: prototypes_per_class vs max_iter ---
  [Exp 3] Prototypy: 1, Random State: 123 -> PK = 76.25%
  [Exp 3] Prototypy: 1, Random State: 500 -> PK = 76.25%
  [Exp 3] Prototypy: 1, Random State: 999 -> PK = 76.25%
  [Exp 3] Prototypy: 2, Random State: 0 -> PK = 75.00%
  [Exp 3] Prototypy: 2, Random State: 42 -> PK = 73.57%
  [Exp 3] Prototypy: 2, Random State: 123 -> PK = 72.14%
  [Exp 3] Prototypy: 2, Random State: 500 -> PK = 75.00%
  [Exp 3] Prototypy: 2, Random State: 999 -> PK = 75.00%
  [Exp 3] Prototypy: 3, Random State: 0 -> PK = 72.14%
  [Exp 3] Prototypy: 3, Random State: 42 -> PK = 73.75%
  [Exp 3] Prototypy: 3, Random State: 123 -> PK = 73.57%
  [Exp 3] Prototypy: 3, Random State: 500 -> PK = 75.00%
  [Exp 3] Prototypy: 3, Random State: 999 -> PK = 77.68%
  [Exp 3] Prototypy: 4, Random State: 0 -> PK = 69.46%
  [Exp 3] Prototypy: 4, Random State: 42 -> PK = 73.39%
  [Exp 3] Prototypy: 4, Random State: 123 -> PK = 73.57%
  [Exp 3] Prototypy: 4, Random State: 500 -> PK = 74.82%
  [Exp 3] Prototypy: 4, Random State: 999 -> PK = 75.00%
  [Exp 3] Prototypy: 5, Random State: 0 -> PK = 73.75%
  [Exp 3] Prototypy: 5, Random State: 42 -> PK = 73.57%
  [Exp 3] Prototypy: 5, Random State: 123 -> PK = 71.07%
  [Exp 3] Prototypy: 5, Random State: 500 -> PK = 72.14%
  [Exp 3] Prototypy: 5, Random State: 999 -> PK = 70.89%

--- Exp 4: init_protos vs max_iter ---
  [Exp 4] Szum inicjalizacji: 0.0, Max Iter: 1 -> PK = 74.64%
  [Exp 4] Szum inicjalizacji: 0.0, Max Iter: 2 -> PK = 81.43%
  [Exp 4] Szum inicjalizacji: 0.0, Max Iter: 5 -> PK = 73.39%
  [Exp 4] Szum inicjalizacji: 0.0, Max Iter: 8 -> PK = 76.25%
  [Exp 4] Szum inicjalizacji: 0.0, Max Iter: 12 -> PK = 73.57%
  [Exp 4] Szum inicjalizacji: 0.0, Max Iter: 20 -> PK = 76.43%
  [Exp 4] Szum inicjalizacji: 0.0, Max Iter: 50 -> PK = 76.43%
  [Exp 4] Szum inicjalizacji: 0.0, Max Iter: 80 -> PK = 76.43%
  [Exp 4] Szum inicjalizacji: 0.1, Max Iter: 1 -> PK = 73.21%
  [Exp 4] Szum inicjalizacji: 0.1, Max Iter: 2 -> PK = 78.57%
  [Exp 4] Szum inicjalizacji: 0.1, Max Iter: 5 -> PK = 74.82%
  [Exp 4] Szum inicjalizacji: 0.1, Max Iter: 8 -> PK = 74.82%
  [Exp 4] Szum inicjalizacji: 0.1, Max Iter: 12 -> PK = 73.57%
  [Exp 4] Szum inicjalizacji: 0.1, Max Iter: 20 -> PK = 75.00%
  [Exp 4] Szum inicjalizacji: 0.1, Max Iter: 50 -> PK = 75.00%
  [Exp 4] Szum inicjalizacji: 0.1, Max Iter: 80 -> PK = 75.00%
  [Exp 4] Szum inicjalizacji: 0.3, Max Iter: 1 -> PK = 74.64%
  [Exp 4] Szum inicjalizacji: 0.3, Max Iter: 2 -> PK = 73.39%
  [Exp 4] Szum inicjalizacji: 0.3, Max Iter: 5 -> PK = 74.64%
  [Exp 4] Szum inicjalizacji: 0.3, Max Iter: 8 -> PK = 74.82%
  [Exp 4] Szum inicjalizacji: 0.3, Max Iter: 12 -> PK = 76.25%
  [Exp 4] Szum inicjalizacji: 0.3, Max Iter: 20 -> PK = 76.25%
  [Exp 4] Szum inicjalizacji: 0.3, Max Iter: 50 -> PK = 76.25%
  [Exp 4] Szum inicjalizacji: 0.3, Max Iter: 80 -> PK = 76.25%
  [Exp 4] Szum inicjalizacji: 0.6, Max Iter: 1 -> PK = 73.21%
  [Exp 4] Szum inicjalizacji: 0.6, Max Iter: 2 -> PK = 69.29%
  [Exp 4] Szum inicjalizacji: 0.6, Max Iter: 5 -> PK = 73.39%
  [Exp 4] Szum inicjalizacji: 0.6, Max Iter: 8 -> PK = 73.39%
  [Exp 4] Szum inicjalizacji: 0.6, Max Iter: 12 -> PK = 76.25%
  [Exp 4] Szum inicjalizacji: 0.6, Max Iter: 20 -> PK = 76.25%
  [Exp 4] Szum inicjalizacji: 0.6, Max Iter: 50 -> PK = 76.25%
  [Exp 4] Szum inicjalizacji: 0.6, Max Iter: 80 -> PK = 76.25%
  [Exp 4] Szum inicjalizacji: 1.0, Max Iter: 1 -> PK = 70.54%
  [Exp 4] Szum inicjalizacji: 1.0, Max Iter: 2 -> PK = 72.14%
  [Exp 4] Szum inicjalizacji: 1.0, Max Iter: 5 -> PK = 73.39%
  [Exp 4] Szum inicjalizacji: 1.0, Max Iter: 8 -> PK = 72.14%
  [Exp 4] Szum inicjalizacji: 1.0, Max Iter: 12 -> PK = 73.75%
  [Exp 4] Szum inicjalizacji: 1.0, Max Iter: 20 -> PK = 75.00%
  [Exp 4] Szum inicjalizacji: 1.0, Max Iter: 50 -> PK = 75.00%
  [Exp 4] Szum inicjalizacji: 1.0, Max Iter: 80 -> PK = 75.00%

--- Exp 5: beta vs max_iter ---
  [Exp 5] Beta: 0.5, Max Iter: 1 -> PK = 69.11%
  [Exp 5] Beta: 0.5, Max Iter: 2 -> PK = 69.11%
  [Exp 5] Beta: 0.5, Max Iter: 5 -> PK = 69.11%
  [Exp 5] Beta: 0.5, Max Iter: 8 -> PK = 69.11%
  [Exp 5] Beta: 0.5, Max Iter: 12 -> PK = 69.11%
  [Exp 5] Beta: 0.5, Max Iter: 20 -> PK = 69.11%
  [Exp 5] Beta: 0.5, Max Iter: 50 -> PK = 69.11%
  [Exp 5] Beta: 0.5, Max Iter: 80 -> PK = 69.11%
  [Exp 5] Beta: 1.0, Max Iter: 1 -> PK = 77.50%
  [Exp 5] Beta: 1.0, Max Iter: 2 -> PK = 75.00%
  [Exp 5] Beta: 1.0, Max Iter: 5 -> PK = 69.29%
  [Exp 5] Beta: 1.0, Max Iter: 8 -> PK = 71.96%
  [Exp 5] Beta: 1.0, Max Iter: 12 -> PK = 70.71%
  [Exp 5] Beta: 1.0, Max Iter: 20 -> PK = 73.21%
  [Exp 5] Beta: 1.0, Max Iter: 50 -> PK = 73.21%
  [Exp 5] Beta: 1.0, Max Iter: 80 -> PK = 73.21%
  [Exp 5] Beta: 2.0, Max Iter: 1 -> PK = 77.50%
  [Exp 5] Beta: 2.0, Max Iter: 2 -> PK = 76.25%
  [Exp 5] Beta: 2.0, Max Iter: 5 -> PK = 71.96%
  [Exp 5] Beta: 2.0, Max Iter: 8 -> PK = 72.14%
  [Exp 5] Beta: 2.0, Max Iter: 12 -> PK = 73.57%
  [Exp 5] Beta: 2.0, Max Iter: 20 -> PK = 73.57%
